College Name,City,Primary Conference,Latitude,Longitude
Presbyterian College,Clinton,Big South Conference,34.4627505,-81.8671771
Princeton University,Princeton,Ivy League,40.3386752,-74.6583655
Providence College,Providence,Big East Conference,41.8442938,-71.4354886
Purdue University,West Lafayette,Big Ten Conference,40.430028,-86.9264211
Purdue University Fort Wayne,Fort Wayne,Horizon League,41.1171948,-85.1069762
Queens University of Charlotte,Charlotte,Atlantic Sun Conference,,
Quinnipiac University,Hamden,Metro Atlantic Athletic Conference,41.4181949,-72.8931049
Radford University,Radford,Big South Conference,37.1370242,-80.5499612
Rider University,Lawrenceville,Metro Atlantic Athletic Conference,40.2815513,-74.7404467
Robert Morris University,Moon Township,Horizon League,40.5215586,-80.2115783
Rutgers University–New Brunswick,New Brunswick,Big Ten Conference,40.4976786,-74.4460046
Sacred Heart University,Fairfield,Metro Atlantic Athletic Conference,41.2225974,-73.2444673
Saint Bonaventure University,Saint Bonaventure,Atlantic 10 Conference,42.0846431,-78.4854308
Saint Francis University,Loretto,Northeast Conference,40.5,-78.64
Saint John's University,Queens,Big East Conference,45.5808898,-94.3946325
Saint Joseph's University,Philadelphia,Atlantic 10 Conference,39.9965297,-75.2415117
Saint Louis University,Saint Louis,Atlantic 10 Conference,38.635359,-90.231845
Saint Mary's College of California,Moraga,West Coast Conference,37.8409597,-122.109459
Saint Peter's University,Jersey City,Metro Atlantic Athletic Conference,40.7276245,-74.0721679
Sam Houston State University,Huntsville,Conference USA,30.7133471,-95.5449136
Samford University,Homewood,Southern Conference,33.4641484,-86.7939592
San Diego State University,San Diego,Mountain West Conference,32.7761529,-117.0733037
San Jose State University,San Jose,Mountain West Conference,37.3351903,-121.881225
Santa Clara University,Santa Clara,West Coast Conference,37.3486243,-121.936544
Seattle University,Seattle,West Coast Conference,47.6095043,-122.3187983
Seton Hall University,South Orange,Big East Conference,40.7433314,-74.2468921
Siena University,Loudonville,Metro Atlantic Athletic Conference,42.7184,-73.7534
South Carolina State University,Orangeburg,Mid-Eastern Athletic Conference,33.4987851,-80.8468434
South Dakota State University,Brookings,Summit League,44.344449,-96.7982371
Southeast Missouri State University,Cape Girardeau,Ohio Valley Conference,37.3175802,-89.5284899
Southeastern Louisiana University,Hammond,Southland Conference,30.5182254,-90.4688149
Southern University and A&M College,Baton Rouge,Southwestern Athletic Conference,30.5258156,-91.194946
Southern Illinois University Carbondale,Carbondale,Missouri Valley Conference,37.7083423,-89.2275556
Southern Illinois University Edwardsville,Edwardsville,Ohio Valley Conference,38.7941616,-90.0002789
Southern Methodist University,Dallas,Atlantic Coast Conference,32.8418011,-96.7815281
Southern Utah University,Cedar City,Western Athletic Conference,37.6748541,-113.0731048
State University of Iowa,Iowa City,Big Ten Conference,41.6682891,-91.5795068
State University of New York at Albany,Albany,America East Conference,42.6639622,-73.7802589
State University of New York at Binghamton,Binghamton,America East Conference,42.0877998,-75.9706607
State University of New York at Buffalo,Buffalo,Mid-American Conference,,
State University of New York at Stony Brook,Stony Brook,Coastal Athletic Association,40.9090809,-73.1205518
Stephen F. Austin State University,Nacogdoches,Southland Conference,31.623554,-94.6434449
Stetson University,DeLand,Atlantic Sun Conference,29.0365347,-81.3005411
Stonehill College,Easton,Northeast Conference,42.0599777,-71.0793257
Syracuse University,Syracuse,Atlantic Coast Conference,43.0171129,-76.1185536
Tarleton State University,Stephenville,Western Athletic Conference,32.214673,-98.2196882
Temple University,Philadelphia,American Conference,39.981188,-75.1562828
Tennessee State University,Nashville,Ohio Valley Conference,36.1679249,-86.8271487
Tennessee Technological University,Cookeville,Ohio Valley Conference,36.1748736,-85.5089051
Texas A&M University,College Station,Southeastern Conference,30.6108618,-96.3520606
Texas A&M University–Corpus Christi,Corpus Christi,Southland Conference,27.7127514,-97.3233877
Texas Christian University,Fort Worth,Big 12 Conference,32.7080148,-97.3611939
Texas Southern University,Houston,Southwestern Athletic Conference,29.7209058,-95.3596267
Texas State University,San Marcos,Sun Belt Conference,29.8910885,-97.9376214
Texas Tech University,Lubbock,Big 12 Conference,33.5937526,-101.8995955
"The Citadel, The Military College of South Carolina",Charleston,Southern Conference,,
The College of William and Mary in Virginia,Williamsburg,Coastal Athletic Association,,
