College,State,Conference,Latitude,Longitude
Trine University,IN,Michigan Intercollegiate Athletic Association,41.6311141,-85.0105982
Trinity College (Connecticut),CT,New England Small College Athletic Conference,41.7471549,-72.6901199
Trinity University (Texas),TX,Southern Athletic Association,29.4616913,-98.4835083
Trinity Washington University,DC,Independent,38.9279405,-77.0028627
Tufts University,MA,New England Small College Athletic Conference,42.4064499,-71.1180771
Union College (New York),NY,Liberty League,42.8175752,-73.9283917
United States Coast Guard Academy,CT,New England Women's and Men's Athletic Conference,41.3822475,-74.3129464
United States Merchant Marine Academy,NY,Skyline Conference,40.8123337,-73.7619648
Ursinus College,PA,Centennial Conference,40.1954088,-75.4553199
Utica University,NY,Empire 8,43.0972479,-75.2704844
University of Valley Forge,PA,United East Conference,40.1191425,-75.5503704
Vassar College,NY,Liberty League,41.6854718,-73.8934933
Vermont State University–Castleton,VT,Little East Conference,43.6064743,-73.1804683
Vermont State University–Johnson,VT,North Atlantic Conference,44.6445964,-72.6669458
Vermont State University–Lyndon,VT,North Atlantic Conference,44.5348501,-72.0247535
Virginia Wesleyan University,VA,Old Dominion Athletic Conference,36.86802,-76.187744
Wabash College,IN,North Coast Athletic Conference,40.0367972,-86.9072703
Warren Wilson College,NC,Coast to Coast Athletic Conference,35.6134478,-82.4406782
Wartburg College,IA,American Rivers Conference,51.9612539,4.5606447
Washington & Jefferson College,PA,Presidents' Athletic Conference,40.1719209,-80.2413496
Washington and Lee University,VA,Old Dominion Athletic Conference,37.7929993,-79.4477349
