College,State,Conference,Latitude,Longitude
Berea College,KY,Heartland Collegiate Athletic Conference,37.5715364,-84.289796
Berry College,GA,Southern Athletic Association,34.290842,-85.1890789
Bethany College (West Virginia),WV,Presidents' Athletic Conference,40.2058045,-80.5610734
Bethany Lutheran College,MN,Upper Midwest Athletic Conference,44.1667413,-93.9910428
Bethel University (Minnesota),MN,Minnesota Intercollegiate Athletic Conference,45.0597618,-93.1639632
Blackburn College (Illinois),IL,St. Louis Intercollegiate Athletic Conference,39.2895977,-89.8715771
Bluffton University,OH,Heartland Collegiate Athletic Conference,40.8965715,-83.899648
Bowdoin College,ME,New England Small College Athletic Conference,43.906924,-69.9615253
Brandeis University,MA,University Athletic Association,42.3665095,-71.2580196
Brevard College,NC,USA South Athletic Conference,35.237431,-82.7264112
Bridgewater College,VA,Old Dominion Athletic Conference,27.6962972,85.352347
Bridgewater State University,MA,Massachusetts State Collegiate Athletic Conference,41.9882958,-70.9635926
Brooklyn College,NY,City University of New York Athletic Conference,40.6310352,-73.9520082
Bryn Mawr College,PA,Centennial Conference,40.0286808,-75.3154551
Buena Vista University,IA,American Rivers Conference,42.6405657,-95.209698
Buffalo State University,NY,State University of New York Athletic Conference,42.9335571,-78.8845343
Cairn University,PA,United East Conference,40.1669059,-74.9078538
California Institute of Technology,CA,Southern California Intercollegiate Athletic Conference,34.1370138,-118.1252883
California Lutheran University,CA,Southern California Intercollegiate Athletic Conference,34.2281002,-118.8784338
University of California,CA,Coast to Coast Athletic Conference,33.9820425,-117.332218
Calvin University,MI,Michigan Intercollegiate Athletic Association,42.9320314,-85.5803644
Capital University,OH,Ohio Athletic Conference,39.9554343,-82.9376327
Carleton College,MN,Minnesota Intercollegiate Athletic Conference,44.4718354,-93.1414777
Carlow University,PA,Allegheny Mountain Collegiate Conference,40.438763,-79.9636614
Carnegie Mellon University,PA,University Athletic Association,40.4439193,-79.9428267
Carroll University,WI,College Conference of Illinois and Wisconsin,43.0039527,-88.2292641
Carthage College,WI,College Conference of Illinois and Wisconsin,42.6228012,-87.8222909
Case Western Reserve University,OH,University Athletic Association,41.501387,-81.6007022
Catholic University of America,DC,Landmark Conference,38.9391024,-76.9999642
Cedar Crest College,PA,United East Conference,40.5865842,-75.518783
Centenary College of Louisiana,LA,Southern Collegiate Athletic Conference,32.482254,-93.7313806
Centenary University,NJ,Atlantic East Conference,40.8470669,-74.8351007
Central College (Iowa),IA,American Rivers Conference,41.4036435,-92.9315988
Centre College,KY,Southern Athletic Association,37.6444259,-84.7809759
Chapman University,CA,Southern California Intercollegiate Athletic Conference,33.7933817,-117.8516959
Chatham University,PA,Presidents' Athletic Conference,40.4476208,-79.9239954
University of Chicago,IL,University Athletic Association,33.967831,-117.3485015
Christopher Newport University,VA,Coast to Coast Athletic Conference,37.0637197,-76.4955712
City College of New York,NY,City University of New York Athletic Conference,40.8181098,-73.950886
Claremont McKenna-Harvey Mudd-Scripps Colleges,CA,Southern California Intercollegiate Athletic Conference,,
Clark University,MA,New England Women's and Men's Athletic Conference,42.2514681,-71.8229509
Clarkson University,NY,Liberty League,44.6595888,-75.0062397
Coe College,IA,American Rivers Conference,41.9905972,-91.6569664
Colby College,ME,New England Small College Athletic Conference,44.5596645,-69.6580742
Colby–Sawyer College,NH,Great Northeast Athletic Conference,43.4141177,-71.9753244
Colorado College,CO,Southern Collegiate Athletic Conference,38.8480439,-104.8239509
